Against	Beneficiary	TotalCount	TotalYards
Detroit	Green Bay	13	102
Green Bay	Detroit	3	31
Atlanta	San Francisco	4	60
San Francisco	Atlanta	6	41
Carolina	New Orleans	4	66
New Orleans	Carolina	4	36
Seattle	St. Louis	6	49
St. Louis	Seattle	5	41
Jacksonville	Indianapolis	7	45
Indianapolis	Jacksonville	3	35
Houston	Oakland	5	26
Oakland	Houston	2	23
Philadelphia	Washington	8	80
Washington	Philadelphia	5	30
Arizona	San Diego	5	34
San Diego	Arizona	5	44
Chicago	N.Y. Giants	8	40
N.Y. Giants	Chicago	6	44
Miami	New England	6	40
New England	Miami	2	26
Buffalo	Jacksonville	5	35
Jacksonville	Buffalo	5	38
Baltimore	Denver	5	66
Denver	Baltimore	10	90
Kansas City	Indianapolis	4	38
Indianapolis	Kansas City	5	45
Green Bay	Washington	9	63
Washington	Green Bay	4	28
St. Louis	Detroit	7	40
Detroit	St. Louis	11	78
Carolina	Chicago	7	53
Chicago	Carolina	5	45
Cincinnati	Tampa Bay	9	60
Tampa Bay	Cincinnati	3	25
Atlanta	Cleveland	6	60
Cleveland	Atlanta	7	58
N.Y. Giants	Houston	9	84
Houston	N.Y. Giants	8	67
Arizona	New Orleans	3	20
New Orleans	Arizona	6	45
Dallas	Tennessee	12	133
Tennessee	Dallas	4	40
San Diego	Oakland	7	53
Oakland	San Diego	12	85
San Francisco	Philadelphia	10	65
Philadelphia	San Francisco	5	30
Minnesota	N.Y. Jets	8	51
N.Y. Jets	Minnesota	6	55
Miami	Green Bay	4	30
Green Bay	Miami	7	45
St. Louis	San Diego	6	35
San Diego	St. Louis	6	31
Baltimore	New England	8	67
New England	Baltimore	9	78
Pittsburgh	Cleveland	4	25
Cleveland	Pittsburgh	4	46
Houston	Kansas City	5	53
Kansas City	Houston	5	35
Detroit	N.Y. Giants	11	91
N.Y. Giants	Detroit	2	15
Philadelphia	Atlanta	9	78
Atlanta	Philadelphia	2	30
Seattle	Chicago	5	83
Chicago	Seattle	2	18
New Orleans	Tampa Bay	9	80
Tampa Bay	New Orleans	5	30
Denver	N.Y. Jets	5	81
N.Y. Jets	Denver	6	74
San Francisco	Oakland	11	143
Oakland	San Francisco	8	60
Dallas	Minnesota	11	91
Minnesota	Dallas	5	45
