Against	Beneficiary	TotalCount	TotalYards
Minnesota	Green Bay	13	137
Green Bay	Minnesota	6	72
Chicago	Philadelphia	7	60
Philadelphia	Chicago	5	34
Houston	New England	6	43
New England	Houston	3	15
Buffalo	Arizona	9	75
Arizona	Buffalo	8	50
Carolina	Minnesota	10	65
Minnesota	Carolina	6	42
Cincinnati	Denver	9	69
Denver	Cincinnati	5	41
Green Bay	Detroit	4	45
Detroit	Green Bay	4	86
Baltimore	Jacksonville	8	58
Jacksonville	Baltimore	7	75
Cleveland	Miami	13	91
Miami	Cleveland	8	67
Washington	N.Y. Giants	8	70
N.Y. Giants	Washington	11	128
Tennessee	Oakland	8	70
Oakland	Tennessee	8	58
San Francisco	Seattle	4	35
Seattle	San Francisco	6	50
Tampa Bay	LA Rams	9	80
LA Rams	Tampa Bay	8	69
Pittsburgh	Philadelphia	7	77
Philadelphia	Pittsburgh	10	99
San Diego	Indianapolis	10	80
Indianapolis	San Diego	11	66
N.Y. Jets	Kansas City	3	15
Kansas City	N.Y. Jets	5	59
Chicago	Dallas	6	45
Dallas	Chicago	4	45
Atlanta	New Orleans	4	35
New Orleans	Atlanta	5	75
Miami	Cincinnati	7	68
Cincinnati	Miami	6	40
Jacksonville	Indianapolis	11	145
Indianapolis	Jacksonville	7	78
Carolina	Atlanta	6	55
Atlanta	Carolina	8	77
Baltimore	Oakland	10	105
Oakland	Baltimore	12	93
Chicago	Detroit	8	55
Detroit	Chicago	10	76
Tennessee	Houston	11	93
Houston	Tennessee	6	59
New England	Buffalo	9	74
Buffalo	New England	6	60
N.Y. Jets	Seattle	7	60
Seattle	N.Y. Jets	7	71
Washington	Cleveland	9	75
Cleveland	Washington	7	101
Tampa Bay	Denver	9	69
Denver	Tampa Bay	9	88
Arizona	LA Rams	6	45
LA Rams	Arizona	9	84
New Orleans	San Diego	6	34
San Diego	New Orleans	5	46
Dallas	San Francisco	6	45
San Francisco	Dallas	5	32
Pittsburgh	Kansas City	9	68
Kansas City	Pittsburgh	7	40
N.Y. Giants	Minnesota	8	69
Minnesota	N.Y. Giants	6	37
Arizona	San Francisco	7	50
San Francisco	Arizona	4	34
Baltimore	Washington	9	65
Washington	Baltimore	4	46
New England	Cleveland	5	61
Cleveland	New England	5	35
Philadelphia	Detroit	14	111
Detroit	Philadelphia	2	18
Chicago	Indianapolis	10	80
Indianapolis	Chicago	9	68
Miami	Tennessee	8	83
Tennessee	Miami	5	40
Houston	Minnesota	4	15
Minnesota	Houston	9	97
Pittsburgh	N.Y. Jets	1	10
N.Y. Jets	Pittsburgh	4	18
Denver	Atlanta	8	57
Atlanta	Denver	7	78
Cincinnati	Dallas	6	49
Dallas	Cincinnati	7	45
LA Rams	Buffalo	6	40
Buffalo	LA Rams	7	60
Oakland	San Diego	6	36
San Diego	Oakland	4	38
N.Y. Giants	Green Bay	6	51
Green Bay	N.Y. Giants	6	57
Tampa Bay	Carolina	5	40
Carolina	Tampa Bay	7	60
San Diego	Denver	3	20
Denver	San Diego	12	103
Buffalo	San Francisco	7	71
San Francisco	Buffalo	6	52
Jacksonville	Chicago	5	50
Chicago	Jacksonville	10	87
Detroit	LA Rams	7	62
LA Rams	Detroit	8	62
Pittsburgh	Miami	6	65
Miami	Pittsburgh	8	95
New England	Cincinnati	6	55
Cincinnati	New England	7	46
Carolina	New Orleans	5	51
New Orleans	Carolina	10	126
Baltimore	N.Y. Giants	15	111
N.Y. Giants	Baltimore	7	119
Tennessee	Cleveland	7	96
Cleveland	Tennessee	11	69
Philadelphia	Washington	13	114
Washington	Philadelphia	9	75
Kansas City	Oakland	2	10
Oakland	Kansas City	3	25
Green Bay	Dallas	5	23
Dallas	Green Bay	7	60
Atlanta	Seattle	8	66
Seattle	Atlanta	3	30
Indianapolis	Houston	7	42
Houston	Indianapolis	7	59
Arizona	N.Y. Jets	9	64
N.Y. Jets	Arizona	10	83
Green Bay	Chicago	9	56
Chicago	Green Bay	10	108
N.Y. Giants	LA Rams	3	33
LA Rams	N.Y. Giants	8	43
Cincinnati	Cleveland	3	30
Cleveland	Cincinnati	5	35
Detroit	Washington	4	30
Washington	Detroit	4	20
Jacksonville	Oakland	13	122
Oakland	Jacksonville	11	117
New Orleans	Kansas City	10	75
Kansas City	New Orleans	4	30
Buffalo	Miami	6	45
Miami	Buffalo	13	116
Baltimore	N.Y. Jets	4	35
N.Y. Jets	Baltimore	4	25
Philadelphia	Minnesota	7	53
Minnesota	Philadelphia	7	56
Indianapolis	Tennessee	12	131
Tennessee	Indianapolis	6	38
San Diego	Atlanta	3	14
Atlanta	San Diego	9	70
Tampa Bay	San Francisco	7	78
San Francisco	Tampa Bay	4	31
Pittsburgh	New England	10	85
New England	Pittsburgh	4	40
Arizona	Seattle	6	45
Seattle	Arizona	10	90
Denver	Houston	7	83
Houston	Denver	2	15
Tennessee	Jacksonville	7	54
Jacksonville	Tennessee	7	75
Washington	Cincinnati	15	106
Cincinnati	Washington	7	85
Atlanta	Green Bay	7	46
Green Bay	Atlanta	6	68
Buffalo	New England	12	84
New England	Buffalo	10	116
N.Y. Jets	Cleveland	5	37
Cleveland	N.Y. Jets	2	10
Houston	Detroit	6	49
Detroit	Houston	8	75
Indianapolis	Kansas City	5	45
Kansas City	Indianapolis	6	40
Seattle	New Orleans	11	76
New Orleans	Seattle	2	10
Tampa Bay	Oakland	6	64
Oakland	Tampa Bay	23	200
San Diego	Denver	8	52
Denver	San Diego	6	45
Carolina	Arizona	5	40
Arizona	Carolina	10	88
Dallas	Philadelphia	11	84
Philadelphia	Dallas	5	40
Chicago	Minnesota	2	20
Minnesota	Chicago	1	10
Tampa Bay	Atlanta	11	85
Atlanta	Tampa Bay	6	34
Denver	Oakland	12	104
Oakland	Denver	8	72
Baltimore	Pittsburgh	10	94
Pittsburgh	Baltimore	13	99
Cleveland	Dallas	5	33
Dallas	Cleveland	4	38
Kansas City	Jacksonville	8	75
Jacksonville	Kansas City	5	46
Miami	N.Y. Jets	8	86
N.Y. Jets	Miami	10	77
Minnesota	Detroit	8	54
Detroit	Minnesota	6	57
Philadelphia	N.Y. Giants	4	43
N.Y. Giants	Philadelphia	5	30
LA Rams	Carolina	10	109
Carolina	LA Rams	5	35
San Francisco	New Orleans	9	78
New Orleans	San Francisco	4	40
Indianapolis	Green Bay	4	35
Green Bay	Indianapolis	4	25
Tennessee	San Diego	8	57
San Diego	Tennessee	14	107
Buffalo	Seattle	11	115
Seattle	Buffalo	10	75
Baltimore	Cleveland	6	61
Cleveland	Baltimore	3	35
Kansas City	Carolina	9	45
Carolina	Kansas City	6	53
Jacksonville	Houston	4	48
Houston	Jacksonville	4	89
New Orleans	Denver	3	25
Denver	New Orleans	1	10
N.Y. Jets	LA Rams	4	31
LA Rams	N.Y. Jets	7	55
Atlanta	Philadelphia	8	67
Philadelphia	Atlanta	10	77
Tampa Bay	Chicago	9	85
Chicago	Tampa Bay	9	74
Green Bay	Tennessee	12	107
Tennessee	Green Bay	7	65
Minnesota	Washington	4	35
Washington	Minnesota	4	35
Miami	San Diego	11	81
San Diego	Miami	4	29
San Francisco	Arizona	9	100
Arizona	San Francisco	2	10
Dallas	Pittsburgh	10	98
Pittsburgh	Dallas	4	40
Seattle	New England	8	60
New England	Seattle	7	61
Cincinnati	N.Y. Giants	9	60
N.Y. Giants	Cincinnati	2	15
New Orleans	Carolina	6	48
Carolina	New Orleans	6	45
Cincinnati	Buffalo	4	25
Buffalo	Cincinnati	9	75
Cleveland	Pittsburgh	9	52
Pittsburgh	Cleveland	8	70
Baltimore	Dallas	12	136
Dallas	Baltimore	5	45
Detroit	Jacksonville	5	32
Jacksonville	Detroit	4	25
Indianapolis	Tennessee	8	70
Tennessee	Indianapolis	11	109
Kansas City	Tampa Bay	5	30
Tampa Bay	Kansas City	7	42
Arizona	Minnesota	8	96
Minnesota	Arizona	10	73
N.Y. Giants	Chicago	4	35
Chicago	N.Y. Giants	5	40
LA Rams	Miami	8	70
Miami	LA Rams	8	82
San Francisco	New England	10	68
New England	San Francisco	5	40
Philadelphia	Seattle	8	48
Seattle	Philadelphia	7	48
Green Bay	Washington	6	59
Washington	Green Bay	6	40
Oakland	Houston	4	21
Houston	Oakland	7	101
Detroit	Minnesota	4	16
Minnesota	Detroit	5	40
Dallas	Washington	3	25
Washington	Dallas	3	30
Pittsburgh	Indianapolis	7	67
Indianapolis	Pittsburgh	2	10
Arizona	Atlanta	8	60
Atlanta	Arizona	4	23
Cincinnati	Baltimore	2	15
Baltimore	Cincinnati	8	69
Buffalo	Jacksonville	6	31
Jacksonville	Buffalo	6	60
Tennessee	Chicago	6	118
Chicago	Tennessee	7	48
Cleveland	N.Y. Giants	5	35
N.Y. Giants	Cleveland	9	100
Houston	San Diego	9	58
San Diego	Houston	10	78
Miami	San Francisco	4	42
San Francisco	Miami	7	65
LA Rams	New Orleans	6	62
New Orleans	LA Rams	6	45
Tampa Bay	Seattle	7	68
Seattle	Tampa Bay	2	27
Denver	Kansas City	15	97
Kansas City	Denver	9	71
Oakland	Carolina	7	46
Carolina	Oakland	7	67
N.Y. Jets	New England	6	66
New England	N.Y. Jets	2	15
Philadelphia	Green Bay	7	42
Green Bay	Philadelphia	7	51
Dallas	Minnesota	10	78
Minnesota	Dallas	8	57
Atlanta	Kansas City	5	30
Kansas City	Atlanta	13	128
Baltimore	Miami	7	68
Miami	Baltimore	7	57
Chicago	San Francisco	5	40
San Francisco	Chicago	11	106
Philadelphia	Cincinnati	10	88
Cincinnati	Philadelphia	3	23
Green Bay	Houston	4	30
Houston	Green Bay	3	12
Jacksonville	Denver	6	65
Denver	Jacksonville	4	32
New England	LA Rams	8	46
LA Rams	New England	4	30
New Orleans	Detroit	10	83
Detroit	New Orleans	6	39
Buffalo	Oakland	8	73
Oakland	Buffalo	7	65
Washington	Arizona	7	35
Arizona	Washington	6	51
Pittsburgh	N.Y. Giants	12	115
N.Y. Giants	Pittsburgh	4	24
San Diego	Tampa Bay	6	45
Tampa Bay	San Diego	6	35
Seattle	Carolina	6	37
Carolina	Seattle	6	63
N.Y. Jets	Indianapolis	6	90
Indianapolis	N.Y. Jets	3	28
Kansas City	Oakland	9	73
Oakland	Kansas City	10	82
Pittsburgh	Buffalo	6	45
Buffalo	Pittsburgh	7	46
San Diego	Carolina	7	32
Carolina	San Diego	5	35
Cleveland	Cincinnati	5	34
Cincinnati	Cleveland	6	43
Detroit	Chicago	7	55
Chicago	Detroit	11	139
Houston	Indianapolis	7	124
Indianapolis	Houston	9	59
Jacksonville	Minnesota	14	114
Minnesota	Jacksonville	7	93
Arizona	Miami	7	54
Miami	Arizona	14	118
Washington	Philadelphia	5	86
Philadelphia	Washington	5	54
Tampa Bay	New Orleans	7	65
New Orleans	Tampa Bay	13	104
Tennessee	Denver	5	55
Denver	Tennessee	9	87
N.Y. Jets	San Francisco	9	56
San Francisco	N.Y. Jets	3	25
Seattle	Green Bay	7	63
Green Bay	Seattle	5	50
Atlanta	LA Rams	5	40
LA Rams	Atlanta	11	105
N.Y. Giants	Dallas	7	50
Dallas	N.Y. Giants	5	54
Baltimore	New England	8	47
New England	Baltimore	5	48
Seattle	LA Rams	13	86
LA Rams	Seattle	8	76
Miami	N.Y. Jets	9	70
N.Y. Jets	Miami	3	42
Philadelphia	Baltimore	3	30
Baltimore	Philadelphia	7	62
Cleveland	Buffalo	4	51
Buffalo	Cleveland	5	42
Chicago	Green Bay	6	40
Green Bay	Chicago	8	64
Dallas	Tampa Bay	8	91
Tampa Bay	Dallas	3	35
Jacksonville	Houston	12	91
Houston	Jacksonville	6	71
Tennessee	Kansas City	2	25
Kansas City	Tennessee	5	40
Minnesota	Indianapolis	6	27
Indianapolis	Minnesota	5	55
Detroit	N.Y. Giants	2	15
N.Y. Giants	Detroit	5	46
New Orleans	Arizona	5	46
Arizona	New Orleans	7	52
Atlanta	San Francisco	4	27
San Francisco	Atlanta	4	20
New England	Denver	4	30
Denver	New England	5	49
San Diego	Oakland	6	44
Oakland	San Diego	2	15
Pittsburgh	Cincinnati	7	104
Cincinnati	Pittsburgh	8	86
Carolina	Washington	6	62
Washington	Carolina	7	70
Philadelphia	N.Y. Giants	1	5
N.Y. Giants	Philadelphia	5	50
Buffalo	Miami	5	35
Miami	Buffalo	2	15
Atlanta	Carolina	6	45
Carolina	Atlanta	4	24
Washington	Chicago	7	73
Chicago	Washington	4	52
San Diego	Cleveland	9	92
Cleveland	San Diego	4	44
Minnesota	Green Bay	8	70
Green Bay	Minnesota	3	21
Tennessee	Jacksonville	6	49
Jacksonville	Tennessee	4	45
New England	N.Y. Jets	3	20
N.Y. Jets	New England	6	77
Oakland	Indianapolis	10	93
Indianapolis	Oakland	4	22
LA Rams	San Francisco	5	45
San Francisco	LA Rams	11	100
Seattle	Arizona	5	40
Arizona	Seattle	7	85
Houston	Cincinnati	3	25
Cincinnati	Houston	6	60
Baltimore	Pittsburgh	7	95
Pittsburgh	Baltimore	4	45
Denver	Kansas City	9	70
Kansas City	Denver	8	65
Dallas	Detroit	8	47
Detroit	Dallas	5	62
New Orleans	Atlanta	6	70
Atlanta	New Orleans	9	63
Baltimore	Cincinnati	4	41
Cincinnati	Baltimore	2	20
Detroit	Green Bay	5	30
Green Bay	Detroit	10	75
Jacksonville	Indianapolis	8	54
Indianapolis	Jacksonville	4	35
Miami	New England	9	73
New England	Miami	7	64
Minnesota	Chicago	2	15
Chicago	Minnesota	6	49
N.Y. Jets	Buffalo	2	15
Buffalo	N.Y. Jets	0	0
Dallas	Philadelphia	5	35
Philadelphia	Dallas	4	61
Cleveland	Pittsburgh	5	37
Pittsburgh	Cleveland	9	43
Tampa Bay	Carolina	5	30
Carolina	Tampa Bay	4	45
Houston	Tennessee	6	35
Tennessee	Houston	7	50
Washington	N.Y. Giants	5	42
N.Y. Giants	Washington	5	42
Oakland	Denver	13	125
Denver	Oakland	5	43
Arizona	LA Rams	4	51
LA Rams	Arizona	9	61
San Diego	Kansas City	10	50
Kansas City	San Diego	4	19
San Francisco	Seattle	4	25
Seattle	San Francisco	4	34
Oakland	Houston	8	63
Houston	Oakland	7	65
Detroit	Seattle	7	68
Seattle	Detroit	6	40
Pittsburgh	Miami	6	60
Miami	Pittsburgh	6	64
N.Y. Giants	Green Bay	3	42
Green Bay	N.Y. Giants	2	20
Seattle	Atlanta	7	40
Atlanta	Seattle	2	10
Houston	New England	5	75
New England	Houston	5	50
Kansas City	Pittsburgh	6	60
Pittsburgh	Kansas City	4	53
Dallas	Green Bay	6	50
Green Bay	Dallas	3	22
Green Bay	Atlanta	6	63
Atlanta	Green Bay	4	31
Pittsburgh	New England	3	19
New England	Pittsburgh	2	10
Atlanta	New England	9	65
New England	Atlanta	4	23
Kansas City	New England	15	139
New England	Kansas City	6	55
Buffalo	N.Y. Jets	6	50
N.Y. Jets	Buffalo	5	62
Atlanta	Chicago	8	73
Chicago	Atlanta	4	40
Cincinnati	Baltimore	9	66
Baltimore	Cincinnati	11	85
Cleveland	Pittsburgh	4	61
Pittsburgh	Cleveland	13	144
Arizona	Detroit	7	55
Detroit	Arizona	10	100
Jacksonville	Houston	10	89
Houston	Jacksonville	9	94
Oakland	Tennessee	5	49
Tennessee	Oakland	5	49
Philadelphia	Washington	8	76
Washington	Philadelphia	2	15
LA Rams	Indianapolis	7	50
Indianapolis	LA Rams	4	20
Seattle	Green Bay	8	50
Green Bay	Seattle	8	70
San Francisco	Carolina	10	74
Carolina	San Francisco	5	40
N.Y. Giants	Dallas	6	55
Dallas	N.Y. Giants	5	50
New Orleans	Minnesota	6	52
Minnesota	New Orleans	5	50
LA Chargers	Denver	4	40
Denver	LA Chargers	3	62
Cincinnati	Houston	7	45
Houston	Cincinnati	9	61
Cleveland	Baltimore	11	65
Baltimore	Cleveland	7	45
Buffalo	Carolina	5	44
Carolina	Buffalo	6	40
Arizona	Indianapolis	6	41
Indianapolis	Arizona	8	70
Jacksonville	Tennessee	10	99
Tennessee	Jacksonville	7	70
Kansas City	Philadelphia	5	40
Philadelphia	Kansas City	4	30
New England	New Orleans	9	66
New Orleans	New England	5	35
Pittsburgh	Minnesota	10	72
Minnesota	Pittsburgh	11	131
Chicago	Tampa Bay	8	59
Tampa Bay	Chicago	4	34
Miami	LA Chargers	5	23
LA Chargers	Miami	6	56
Oakland	N.Y. Jets	9	79
N.Y. Jets	Oakland	5	47
Dallas	Denver	8	69
Denver	Dallas	8	61
LA Rams	Washington	7	75
Washington	LA Rams	4	25
San Francisco	Seattle	6	66
Seattle	San Francisco	9	71
Atlanta	Green Bay	6	34
Green Bay	Atlanta	10	70
N.Y. Giants	Detroit	7	50
Detroit	N.Y. Giants	6	50
San Francisco	LA Rams	10	55
LA Rams	San Francisco	7	52
Jacksonville	Baltimore	9	70
Baltimore	Jacksonville	10	88
Denver	Buffalo	10	79
Buffalo	Denver	8	69
Carolina	New Orleans	1	5
New Orleans	Carolina	1	10
Chicago	Pittsburgh	10	73
Pittsburgh	Chicago	6	40
Detroit	Atlanta	9	98
Atlanta	Detroit	8	68
Indianapolis	Cleveland	11	99
Cleveland	Indianapolis	10	113
Minnesota	Tampa Bay	5	53
Tampa Bay	Minnesota	7	37
Houston	New England	10	60
New England	Houston	5	69
Miami	N.Y. Jets	8	51
N.Y. Jets	Miami	10	94
Philadelphia	N.Y. Giants	9	103
N.Y. Giants	Philadelphia	10	137
Seattle	Tennessee	11	98
Tennessee	Seattle	5	45
Green Bay	Cincinnati	4	33
Cincinnati	Green Bay	7	68
LA Chargers	Kansas City	8	61
Kansas City	LA Chargers	13	122
Washington	Oakland	10	77
Oakland	Washington	4	35
Dallas	Arizona	9	76
Arizona	Dallas	6	50
Green Bay	Chicago	7	55
Chicago	Green Bay	8	62
Miami	New Orleans	11	90
New Orleans	Miami	8	71
Buffalo	Atlanta	9	55
Atlanta	Buffalo	4	45
Pittsburgh	Baltimore	8	60
Baltimore	Pittsburgh	6	55
Cleveland	Cincinnati	4	28
Cincinnati	Cleveland	8	66
LA Rams	Dallas	7	41
Dallas	LA Rams	4	45
Tennessee	Houston	6	88
Houston	Tennessee	3	20
Detroit	Minnesota	6	60
Minnesota	Detroit	2	10
New England	Carolina	7	55
Carolina	New England	1	33
N.Y. Jets	Jacksonville	10	70
Jacksonville	N.Y. Jets	6	47
Arizona	San Francisco	10	80
San Francisco	Arizona	13	113
Philadelphia	LA Chargers	9	58
LA Chargers	Philadelphia	9	39
Tampa Bay	N.Y. Giants	4	19
N.Y. Giants	Tampa Bay	1	0
Oakland	Denver	7	75
Denver	Oakland	6	40
Indianapolis	Seattle	5	31
Seattle	Indianapolis	6	45
Kansas City	Washington	3	15
Washington	Kansas City	7	44
Tampa Bay	New England	9	70
New England	Tampa Bay	12	108
Cincinnati	Buffalo	6	71
Buffalo	Cincinnati	6	71
N.Y. Jets	Cleveland	9	80
Cleveland	N.Y. Jets	6	60
Carolina	Detroit	11	100
Detroit	Carolina	1	10
Indianapolis	San Francisco	7	62
San Francisco	Indianapolis	10	77
Miami	Tennessee	5	23
Tennessee	Miami	11	77
LA Chargers	N.Y. Giants	11	87
N.Y. Giants	LA Chargers	10	67
Arizona	Philadelphia	7	61
Philadelphia	Arizona	5	60
Pittsburgh	Jacksonville	5	37
Jacksonville	Pittsburgh	4	19
LA Rams	Seattle	5	45
Seattle	LA Rams	7	40
Oakland	Baltimore	3	24
Baltimore	Oakland	1	5
Green Bay	Dallas	6	38
Dallas	Green Bay	7	70
Houston	Kansas City	7	59
Kansas City	Houston	6	64
Chicago	Minnesota	8	55
Minnesota	Chicago	9	69
Philadelphia	Carolina	10	126
Carolina	Philadelphia	1	1
Miami	Atlanta	4	42
Atlanta	Miami	6	73
Chicago	Baltimore	5	44
Baltimore	Chicago	8	69
Cleveland	Houston	11	72
Houston	Cleveland	4	44
Green Bay	Minnesota	8	92
Minnesota	Green Bay	7	65
New Orleans	Detroit	13	118
Detroit	New Orleans	7	46
N.Y. Jets	New England	6	69
New England	N.Y. Jets	6	45
Washington	San Francisco	5	43
San Francisco	Washington	7	40
Tampa Bay	Arizona	9	49
Arizona	Tampa Bay	7	61
Jacksonville	LA Rams	5	40
LA Rams	Jacksonville	7	70
Kansas City	Pittsburgh	7	48
Pittsburgh	Kansas City	6	57
Oakland	LA Chargers	5	40
LA Chargers	Oakland	4	32
Denver	N.Y. Giants	5	46
N.Y. Giants	Denver	5	77
Indianapolis	Tennessee	5	51
Tennessee	Indianapolis	4	45
Oakland	Kansas City	10	97
Kansas City	Oakland	8	108
Tampa Bay	Buffalo	5	55
Buffalo	Tampa Bay	4	35
Carolina	Chicago	4	35
Chicago	Carolina	5	40
Cleveland	Tennessee	12	81
Tennessee	Cleveland	5	35
New Orleans	Green Bay	7	80
Green Bay	New Orleans	8	54
Indianapolis	Jacksonville	5	55
Jacksonville	Indianapolis	4	34
Arizona	LA Rams	10	65
LA Rams	Arizona	6	45
Miami	N.Y. Jets	9	76
N.Y. Jets	Miami	12	124
Minnesota	Baltimore	4	47
Baltimore	Minnesota	3	15
Pittsburgh	Cincinnati	1	5
Cincinnati	Pittsburgh	5	54
San Francisco	Dallas	2	22
Dallas	San Francisco	5	36
Denver	LA Chargers	10	68
LA Chargers	Denver	9	81
Seattle	N.Y. Giants	15	110
N.Y. Giants	Seattle	7	28
Atlanta	New England	6	40
New England	Atlanta	8	65
Philadelphia	Washington	9	55
Washington	Philadelphia	5	55
Miami	Baltimore	7	43
Baltimore	Miami	5	40
Minnesota	Cleveland	5	58
Cleveland	Minnesota	5	74
Buffalo	Oakland	11	95
Oakland	Buffalo	6	50
Indianapolis	Cincinnati	7	45
Cincinnati	Indianapolis	5	54
LA Chargers	New England	10	77
New England	LA Chargers	6	80
Chicago	New Orleans	4	31
New Orleans	Chicago	7	51
Atlanta	N.Y. Jets	6	68
N.Y. Jets	Atlanta	6	50
Philadelphia	San Francisco	4	35
San Francisco	Philadelphia	6	69
Carolina	Tampa Bay	5	51
Tampa Bay	Carolina	6	55
Seattle	Houston	10	120
Houston	Seattle	8	93
Dallas	Washington	8	89
Washington	Dallas	5	32
Detroit	Pittsburgh	6	57
Pittsburgh	Detroit	5	37
Kansas City	Denver	7	69
Denver	Kansas City	7	53
Buffalo	N.Y. Jets	11	99
N.Y. Jets	Buffalo	10	66
Atlanta	Carolina	8	70
Carolina	Atlanta	5	29
Indianapolis	Houston	6	68
Houston	Indianapolis	7	74
Jacksonville	Cincinnati	5	50
Cincinnati	Jacksonville	8	78
Tampa Bay	New Orleans	7	50
New Orleans	Tampa Bay	4	28
N.Y. Giants	LA Rams	4	52
LA Rams	N.Y. Giants	6	55
Philadelphia	Denver	5	35
Denver	Philadelphia	14	105
Tennessee	Baltimore	3	39
Baltimore	Tennessee	6	39
San Francisco	Arizona	8	53
Arizona	San Francisco	2	25
Seattle	Washington	16	138
Washington	Seattle	7	62
Kansas City	Dallas	8	52
Dallas	Kansas City	5	65
Oakland	Miami	10	105
Miami	Oakland	11	107
Green Bay	Detroit	2	20
Detroit	Green Bay	2	19
Seattle	Arizona	12	108
Arizona	Seattle	9	58
Buffalo	New Orleans	8	56
New Orleans	Buffalo	4	41
Chicago	Green Bay	8	78
Green Bay	Chicago	5	35
Detroit	Cleveland	7	81
Cleveland	Detroit	7	60
Pittsburgh	Indianapolis	9	70
Indianapolis	Pittsburgh	9	82
LA Chargers	Jacksonville	7	77
Jacksonville	LA Chargers	9	106
N.Y. Jets	Tampa Bay	8	77
Tampa Bay	N.Y. Jets	6	50
Cincinnati	Tennessee	12	84
Tennessee	Cincinnati	5	55
Washington	Minnesota	2	15
Minnesota	Washington	3	40
Houston	LA Rams	8	60
LA Rams	Houston	10	86
Atlanta	Dallas	5	35
Dallas	Atlanta	5	54
N.Y. Giants	San Francisco	4	35
San Francisco	N.Y. Giants	6	44
Denver	New England	5	28
New England	Denver	1	5
Carolina	Miami	6	37
Miami	Carolina	7	57
Tennessee	Pittsburgh	9	65
Pittsburgh	Tennessee	7	61
Chicago	Detroit	5	64
Detroit	Chicago	6	49
Jacksonville	Cleveland	6	40
Baltimore	Green Bay	3	30
Green Bay	Baltimore	5	53
Houston	Arizona	6	42
Arizona	Houston	10	90
Minnesota	LA Rams	7	65
LA Rams	Minnesota	8	60
New Orleans	Washington	7	54
Washington	New Orleans	9	67
N.Y. Giants	Kansas City	5	48
Kansas City	N.Y. Giants	9	87
Buffalo	LA Chargers	6	48
LA Chargers	Buffalo	1	13
Denver	Cincinnati	5	50
Cincinnati	Denver	3	14
Oakland	New England	8	66
New England	Oakland	2	10
Dallas	Philadelphia	2	10
Philadelphia	Dallas	3	30
Miami	Tampa Bay	17	123
Tampa Bay	Miami	9	82
Atlanta	Seattle	7	69
Seattle	Atlanta	9	106
Minnesota	Detroit	9	74
Detroit	Minnesota	8	54
LA Chargers	Dallas	5	56
Dallas	LA Chargers	7	60
Washington	N.Y. Giants	8	55
N.Y. Giants	Washington	6	79
Atlanta	Tampa Bay	4	42
Tampa Bay	Atlanta	2	15
Cincinnati	Cleveland	4	35
Cleveland	Cincinnati	7	69
Indianapolis	Tennessee	9	67
Tennessee	Indianapolis	2	15
Buffalo	Kansas City	6	50
Kansas City	Buffalo	6	50
Miami	New England	6	52
New England	Miami	7	70
Carolina	N.Y. Jets	10	84
N.Y. Jets	Carolina	7	68
Philadelphia	Chicago	11	70
Chicago	Philadelphia	9	56
New Orleans	LA Rams	7	112
LA Rams	New Orleans	9	90
Seattle	San Francisco	6	35
San Francisco	Seattle	7	74
Jacksonville	Arizona	5	45
Arizona	Jacksonville	10	98
Denver	Oakland	9	75
Oakland	Denver	7	68
Pittsburgh	Green Bay	5	45
Green Bay	Pittsburgh	3	27
Baltimore	Houston	7	89
Houston	Baltimore	6	36
Dallas	Washington	3	25
Washington	Dallas	7	43
Minnesota	Atlanta	6	51
Atlanta	Minnesota	7	55
Detroit	Baltimore	6	45
Baltimore	Detroit	2	25
New England	Buffalo	9	66
Buffalo	New England	3	34
Chicago	San Francisco	4	29
San Francisco	Chicago	8	53
Green Bay	Tampa Bay	7	47
Tampa Bay	Green Bay	8	74
Jacksonville	Indianapolis	6	55
Indianapolis	Jacksonville	4	31
Denver	Miami	9	57
Miami	Denver	7	85
Carolina	New Orleans	6	54
New Orleans	Carolina	7	68
N.Y. Jets	Kansas City	5	40
Kansas City	N.Y. Jets	8	30
Tennessee	Houston	7	63
Houston	Tennessee	11	85
Cleveland	LA Chargers	4	24
LA Chargers	Cleveland	5	62
LA Rams	Arizona	7	36
Arizona	LA Rams	4	25
Oakland	N.Y. Giants	6	42
N.Y. Giants	Oakland	1	5
Philadelphia	Seattle	7	64
Seattle	Philadelphia	5	46
Pittsburgh	Cincinnati	7	66
Cincinnati	Pittsburgh	13	173
New Orleans	Atlanta	11	87
Atlanta	New Orleans	4	35
Indianapolis	Buffalo	2	20
Buffalo	Indianapolis	2	10
Carolina	Minnesota	6	48
Minnesota	Carolina	2	30
Cincinnati	Chicago	7	56
Chicago	Cincinnati	10	74
Cleveland	Green Bay	6	45
Green Bay	Cleveland	3	20
San Francisco	Houston	11	87
Houston	San Francisco	8	82
Jacksonville	Seattle	7	48
Seattle	Jacksonville	6	73
Kansas City	Oakland	7	69
Oakland	Kansas City	7	39
Tampa Bay	Detroit	7	65
Detroit	Tampa Bay	8	105
Tennessee	Arizona	6	48
Arizona	Tennessee	5	30
N.Y. Jets	Denver	4	20
Denver	N.Y. Jets	3	21
Washington	LA Chargers	4	48
LA Chargers	Washington	5	40
LA Rams	Philadelphia	7	102
Philadelphia	LA Rams	10	67
N.Y. Giants	Dallas	7	69
Dallas	N.Y. Giants	8	51
Pittsburgh	Baltimore	6	101
Baltimore	Pittsburgh	5	35
New England	Miami	9	78
Miami	New England	8	102
Denver	Indianapolis	12	80
Indianapolis	Denver	4	39
